[2025-05-22 20:18:28] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 10 rows returned
[2025-05-22 20:21:02] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 10 rows returned
[2025-05-22 20:21:26] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:21:33] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-22 20:21:34] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 13 rows returned
[2025-05-22 20:21:40] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-22 20:21:42] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:26:44] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:32:45] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:34:49] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:34:51] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:38:36] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: DELETE FROM Utilizatori WHERE UtilizatorID = '12' | Result: Success - Delete
[2025-05-22 20:38:36] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:39:15] User: admin | IP: 10.13.11.32 | Table: Zboruri | Command: SELECT * FROM Zboruri | Result: Success - 10 rows returned
[2025-05-22 20:39:16] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 13 rows returned
[2025-05-22 20:39:17] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:39:25] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:39:34] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:39:37] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:39:42] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:39:47] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 9 rows returned
[2025-05-22 20:40:22] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 9 rows returned
[2025-05-22 20:40:28] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 9 rows returned
[2025-05-22 20:40:33] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 9 rows returned
[2025-05-22 20:40:39] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:40:41] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 9 rows returned
[2025-05-22 20:40:41] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-22 20:40:42] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 20:40:43] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:40:56] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:40:57] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari WHERE CazareID = '1' | Result: Success - 1 rows returned
[2025-05-22 20:41:00] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:41:03] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:41:15] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 20:41:19] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 13 rows returned
[2025-05-22 20:41:20] User: admin | IP: 10.13.11.32 | Table: Zboruri | Command: SELECT * FROM Zboruri | Result: Success - 10 rows returned
[2025-05-22 20:41:21] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:42:21] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:42:22] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 9 rows returned
[2025-05-22 20:51:04] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 10 rows returned
[2025-05-22 20:51:08] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-22 20:54:07] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-22 20:54:11] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-22 20:54:20] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-22 20:54:26] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: DELETE FROM Utilizatori WHERE UtilizatorID = '14' | Result: Success - Delete
[2025-05-22 20:54:26] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 20:54:33] User: admin | IP: 10.13.11.32 | Table: Zboruri | Command: SELECT * FROM Zboruri | Result: Success - 10 rows returned
[2025-05-22 20:54:35] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 13 rows returned
[2025-05-22 20:54:35] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 20:54:36] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-22 20:54:37] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 9 rows returned
[2025-05-22 20:54:38] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 20:54:39] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 20:56:58] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 20:59:05] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 21:01:28] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 21:01:41] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-22 21:01:54] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 13 rows returned
[2025-05-22 21:01:56] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 21:02:05] User: admin | IP: 10.13.11.32 | Table: Zboruri | Command: SELECT * FROM Zboruri | Result: Success - 10 rows returned
[2025-05-22 21:02:16] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-22 21:13:27] User: admin | IP: 10.13.11.32 | Table: Zboruri | Command: SELECT * FROM Zboruri | Result: Success - 10 rows returned
[2025-05-22 21:13:28] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-22 21:13:28] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 13 rows returned
[2025-05-22 21:13:28] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 11 rows returned
[2025-05-23 01:51:29] User: admin | IP: 10.13.11.31 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-23 01:51:39] User: admin | IP: 10.13.11.31 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 16 rows returned
[2025-05-23 01:51:40] User: admin | IP: 10.13.11.31 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 01:54:14] User: admin | IP: 10.13.11.31 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-23 01:54:33] User: admin | IP: 10.13.11.31 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 16 rows returned
[2025-05-23 01:54:33] User: admin | IP: 10.13.11.31 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 12:01:11] User: admin | IP: 10.13.11.32 | Table: Utilizatori | Command: SELECT * FROM Utilizatori | Result: Success - 12 rows returned
[2025-05-23 12:53:35] User: admin | IP: 10.13.11.32 | Table: Clienti | Command: SELECT * FROM Clienti | Result: Success - 10 rows returned
[2025-05-23 12:53:35] User: admin | IP: 10.13.11.32 | Table: Cazari | Command: SELECT * FROM Cazari | Result: Success - 10 rows returned
[2025-05-23 12:53:36] User: admin | IP: 10.13.11.32 | Table: Destinatii | Command: SELECT * FROM Destinatii | Result: Success - 10 rows returned
[2025-05-23 12:53:36] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
[2025-05-23 12:53:37] User: admin | IP: 10.13.11.32 | Table: Rezervari | Command: SELECT * FROM Rezervari | Result: Success - 16 rows returned
[2025-05-23 12:53:38] User: admin | IP: 10.13.11.32 | Table: Pachete | Command: SELECT * FROM Pachete | Result: Success - 10 rows returned
